"cancer","year","sex","race","stage","age","summary_interval","starting_count","net_relative","net_rel_cum_cis_lower","net_rel_cum_cis_upper"
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","0 mo",1018778,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","12 mo",1018778,79.3,79.2,79.4
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","24 mo",1018778,72.9,72.8,73
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","36 mo",1018778,69.3,69.2,69.4
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","48 mo",1018778,66.8,66.7,66.9
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","60 mo",1018778,64.9,64.8,65
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","72 mo",1018778,63.3,63.2,63.4
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","84 mo",1018778,61.9,61.7,62
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","96 mo",1018778,60.5,60.3,60.6
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","108 mo",1018778,59.1,59,59.3
"all cancer sites","2000-2018","all sexes","white","invasive","all ages","120 mo",1018778,57.9,57.7,58.1
"all cancer sites","2000-2018","all sexes","white","invasive","<65","0 mo",457036,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","invasive","<65","12 mo",457036,87.2,87.1,87.3
"all cancer sites","2000-2018","all sexes","white","invasive","<65","24 mo",457036,81.5,81.4,81.6
"all cancer sites","2000-2018","all sexes","white","invasive","<65","36 mo",457036,78.3,78.2,78.4
"all cancer sites","2000-2018","all sexes","white","invasive","<65","48 mo",457036,76.2,76.1,76.3
"all cancer sites","2000-2018","all sexes","white","invasive","<65","60 mo",457036,74.6,74.5,74.7
"all cancer sites","2000-2018","all sexes","white","invasive","<65","72 mo",457036,73.4,73.2,73.5
"all cancer sites","2000-2018","all sexes","white","invasive","<65","84 mo",457036,72.4,72.2,72.5
"all cancer sites","2000-2018","all sexes","white","invasive","<65","96 mo",457036,71.4,71.3,71.6
"all cancer sites","2000-2018","all sexes","white","invasive","<65","108 mo",457036,70.7,70.5,70.8
"all cancer sites","2000-2018","all sexes","white","invasive","<65","120 mo",457036,70,69.8,70.2
"all cancer sites","2000-2018","all sexes","white","invasive",">65","0 mo",561742,100,NA,NA
"all cancer sites","2000-2018","all sexes","white","invasive",">65","12 mo",561742,72.9,72.7,73
"all cancer sites","2000-2018","all sexes","white","invasive",">65","24 mo",561742,65.8,65.7,66
"all cancer sites","2000-2018","all sexes","white","invasive",">65","36 mo",561742,61.9,61.8,62.1
"all cancer sites","2000-2018","all sexes","white","invasive",">65","48 mo",561742,59.2,59,59.4
"all cancer sites","2000-2018","all sexes","white","invasive",">65","60 mo",561742,57,56.8,57.2
"all cancer sites","2000-2018","all sexes","white","invasive",">65","72 mo",561742,55.1,54.9,55.3
"all cancer sites","2000-2018","all sexes","white","invasive",">65","84 mo",561742,53.4,53.1,53.6
"all cancer sites","2000-2018","all sexes","white","invasive",">65","96 mo",561742,51.6,51.3,51.8
"all cancer sites","2000-2018","all sexes","white","invasive",">65","108 mo",561742,49.8,49.5,50
"all cancer sites","2000-2018","all sexes","white","invasive",">65","120 mo",561742,48.1,47.9,48.4
